id,group_id,title_localkey,speech_window,highlight,speaker,scenario_localkey,play_lipsync,set_background,set_light,conversation_id,set_image,set_object,set_object_position,set_start_camera,set_end_camera,set_camera_duration,play_movie,play_sound,play_ambient,ambient_volume,play_bgm,set_camera_shake,set_filter_01,set_filter_02,jump_target,fade,is_exit_scenario,characters/0/show_char_id,characters/0/hide_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/hide_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/hide_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/hide_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/hide_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/hide_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/hide_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/7/show_char_id,characters/7/hide_char_id,characters/7/set_char_position,characters/7/set_char_anim,characters/8/show_char_id,characters/8/hide_char_id,characters/8/set_char_position,characters/8/set_char_anim,characters/9/show_char_id,characters/9/hide_char_id,characters/9/set_char_position,characters/9/set_char_anim,effects/0/play_effect_id,effects/0/stop_effect_id,effects/0/set_effect_position,effects/0/is_effect_movable,effects/1/play_effect_id,effects/1/stop_effect_id,effects/1/set_effect_position,effects/1/is_effect_movable
d_main_40_af_05_1,d_main_40_af_05,,Narration,,,Locale_MainScenario:d_main_40_af_05_1,False,Office,,,,,,black,black,0,,,,100,bgm_story_mightfeel,,None,None,,None,False,mustang,,1,angry,mrsmiss,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_main_40_af_05_2,d_main_40_af_05,,Speech,mrsmiss,mrsmiss,Locale_MainScenario:d_main_40_af_05_2,True,,,,,,,1300,130,0,,,,100,,,None,None,,None,False,,,1,angry,,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_main_40_af_05_3,d_main_40_af_05,,Speech,mustang,mustang,Locale_MainScenario:d_main_40_af_05_3,True,,,,,,,130,113,0,,,,100,,,None,None,,None,False,,,1,angry,,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_main_40_af_05_4,d_main_40_af_05,,Speech,mrsmiss,mrsmiss,Locale_MainScenario:d_main_40_af_05_4,True,,,,,,,113,113,0,,,,100,,,None,None,,None,False,,,1,angry,,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_main_40_af_05_5,d_main_40_af_05,,Speech,mrsmiss,mrsmiss,Locale_MainScenario:d_main_40_af_05_5,True,,,,,,,113,113,0,,,,100,,,None,None,,None,False,,,1,angry,,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_main_40_af_05_6,d_main_40_af_05,,Speech,mustang,mustang,Locale_MainScenario:d_main_40_af_05_6,True,,,,,,,113,113,0,,,,100,,,None,None,,None,False,,,1,angry,,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_main_40_af_05_7,d_main_40_af_05,,Speech,mustang,mustang,Locale_MainScenario:d_main_40_af_05_7,True,,,,,,,113,113,0,,,,100,,,None,None,,None,False,,,1,angry,,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_main_40_af_05_8,d_main_40_af_05,,Speech,mrsmiss,mrsmiss,Locale_MainScenario:d_main_40_af_05_8,True,,,,,,,113,113,0,,,,100,,,None,None,,None,False,,,1,angry,,,13,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_main_40_af_05_9,d_main_40_af_05,,Speech,mustang,mustang,Locale_MainScenario:d_main_40_af_05_9,True,,,,,,,113,113,0,,,,100,,,None,None,,None,False,,,1,angry,,,13,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_main_40_af_05_10,d_main_40_af_05,,Speech,mrsmiss,mrsmiss,Locale_MainScenario:d_main_40_af_05_10,True,,,,,,,113,113,0,,,,100,,,None,None,,None,False,,,1,angry,,,13,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_main_40_af_05_11,d_main_40_af_05,,Speech,mustang,mustang,Locale_MainScenario:d_main_40_af_05_11,True,,,,,,,113,113,0,,,,100,,,None,None,,None,False,,,1,angry,,,13,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_main_40_af_05_12,d_main_40_af_05,,Speech,mustang,mustang,Locale_MainScenario:d_main_40_af_05_12,True,,,,,,,113,113,0,,,,100,,,None,None,,None,False,,,1,angry,,,13,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_main_40_af_05_13,d_main_40_af_05,,Speech,mustang,mustang,Locale_MainScenario:d_main_40_af_05_13,True,,,,,,,113,113,0,,,,100,,,None,None,,None,False,,,1,angry,,,13,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_main_40_af_05_14,d_main_40_af_05,,Speech,mrsmiss,mrsmiss,Locale_MainScenario:d_main_40_af_05_14,True,,,,,,,113,113,0,,,,100,,,None,None,,None,False,,,1,angry,,,13,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_main_40_af_05_15,d_main_40_af_05,,Speech,mustang,mustang,Locale_MainScenario:d_main_40_af_05_15,True,,,,,,,113,1,0,,,,100,,,None,None,,None,False,,,1,angry,,,13,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_main_40_af_05_16,d_main_40_af_05,,Speech,mustang,mustang,Locale_MainScenario:d_main_40_af_05_16,True,,,,,,,1,L_10,0,,,,100,,,None,None,,None,False,,,1,angry,,,13,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_main_40_af_05_17,d_main_40_af_05,,Speech,mustang,mustang,Locale_MainScenario:d_main_40_af_05_17,True,,,,,,,L_10,L_10,0,,,,100,,,None,None,,None,False,,,1,angry,,,13,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_main_40_af_05_18,d_main_40_af_05,,Speech,mustang,mrsmiss,Locale_MainScenario:d_main_40_af_05_18,False,,,,,,,L_10,L_10,0,,,,100,,,None,None,,None,False,,,1,angry,,,13,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_main_40_af_05_19,d_main_40_af_05,,Speech,mustang,mustang,Locale_MainScenario:d_main_40_af_05_19,True,,,,,,,L_10,L_10,0,,,,100,,,None,None,,None,False,,,1,angry,,,13,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_main_40_af_05_20,d_main_40_af_05,,Speech,mrsmiss,mrsmiss,Locale_MainScenario:d_main_40_af_05_20,True,,,,,,,L_10,113,0,,,,100,,,None,None,,None,False,,,1,angry,,,13,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_main_40_af_05_21,d_main_40_af_05,,Speech,mustang,mustang,Locale_MainScenario:d_main_40_af_05_21,False,,,,,,,113,113,0,,,,100,,,None,None,,None,False,,,1,angry,,,13,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_main_40_af_05_22,d_main_40_af_05,,Speech,mustang,mustang,Locale_MainScenario:d_main_40_af_05_22,True,,,,,,,113,113,0,,,,100,,,None,None,,None,False,,,1,angry,,,13,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_main_40_af_05_23,d_main_40_af_05,,Speech,mustang,mustang,Locale_MainScenario:d_main_40_af_05_23,True,,,,,,,113,113,0,,,,100,,,None,None,,None,False,,,1,angry,,,13,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_main_40_af_05_24,d_main_40_af_05,,Speech,mustang,mustang,Locale_MainScenario:d_main_40_af_05_24,True,,,,,,,113,113,0,,,,100,,,None,None,,None,False,,,1,angry,,,13,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_main_40_af_05_25,d_main_40_af_05,,Speech,mustang,mustang,Locale_MainScenario:d_main_40_af_05_25,True,,,,,,,113,113,0,,,,100,,,None,None,,None,False,,,1,angry,,,13,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_main_40_af_05_26,d_main_40_af_05,,Speech,mrsmiss,mrsmiss,Locale_MainScenario:d_main_40_af_05_26,False,,,,,,,113,113,0,,,,100,,,None,None,,None,False,,,1,angry,,,13,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_main_40_af_05_27,d_main_40_af_05,,Speech,mustang,mustang,Locale_MainScenario:d_main_40_af_05_27,True,,,,,,,113,113,0,,,,100,,,None,None,,None,False,,,1,angry,,,13,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_main_40_af_05_28,d_main_40_af_05,,Speech,mrsmiss,mrsmiss,Locale_MainScenario:d_main_40_af_05_28,False,,,,,,,113,130,0,,,,100,,,None,None,,None,False,,,1,angry,,,13,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_main_40_af_05_29,d_main_40_af_05,,Speech,mrsmiss,mrsmiss,Locale_MainScenario:d_main_40_af_05_29,True,,,,,,,130,1300,0,,,,100,,,None,None,,None,False,,,1,angry,,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
