id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound
d_subquest_1442_e_1,d_subquest_1442_e,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1442_e_1,True,neon,5,idle,anis,3,sad,rapi,1,idle,cinderella,13,idle,FlowerRoad,10,10,1.0,bgm_frostpillar,
d_subquest_1442_e_2,d_subquest_1442_e,Speech,anis,anis,Locale_SubScenario:d_subquest_1442_e_2,True,,5,idle,,3,sad,,1,idle,,13,idle,,10,2,1.0,,
d_subquest_1442_e_3,d_subquest_1442_e,Speech,neon,neon,Locale_SubScenario:d_subquest_1442_e_3,True,,5,surprise,,3,void,,1,idle,,13,idle,,2,4,1.0,,
d_subquest_1442_e_4,d_subquest_1442_e,Speech,neon,neon,Locale_SubScenario:d_subquest_1442_e_4,True,,5,surprise,,3,void,,1,idle,,13,idle,,4,4,1.0,,
d_subquest_1442_e_5,d_subquest_1442_e,Monologue,neon,,Locale_SubScenario:d_subquest_1442_e_5,False,,5,surprise,,3,void,,1,idle,,13,idle,,4,6,2.0,,
d_subquest_1442_e_6,d_subquest_1442_e,Monologue,neon,,Locale_SubScenario:d_subquest_1442_e_6,False,,5,surprise,,3,void,,1,idle,,13,idle,,6,6,1.0,,
d_subquest_1442_e_7,d_subquest_1442_e,Speech,anis,anis,Locale_SubScenario:d_subquest_1442_e_7,True,,5,idle,,3,worry,,1,idle,,13,idle,,6,4,2.0,,
d_subquest_1442_e_8,d_subquest_1442_e,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1442_e_8,True,,5,idle,,3,worry,,1,think,,13,idle,,4,2,1.0,,
d_subquest_1442_e_9,d_subquest_1442_e,Monologue,rapi,,Locale_SubScenario:d_subquest_1442_e_9,False,,5,idle,,3,worry,,1,think,,13,idle,,black,black,1.0,,
d_subquest_1442_e_10,d_subquest_1442_e,Speech,cinderella,cinderella,Locale_SubScenario:d_subquest_1442_e_10,True,,5,idle,,3,worry,,1,think,,13,idle,,2,12,1.0,,
d_subquest_1442_e_11,d_subquest_1442_e,Speech,cinderella,cinderella,Locale_SubScenario:d_subquest_1442_e_11,True,,5,idle,,3,worry,,1,idle,,13,idle,,12,12,1.0,,
d_subquest_1442_e_12,d_subquest_1442_e,Monologue,cinderella,,Locale_SubScenario:d_subquest_1442_e_12,False,,5,idle,,3,worry,,1,idle,,13,idle,,12,S_130,1.0,,
d_subquest_1442_e_13,d_subquest_1442_e,Speech,cinderella,cinderella,Locale_SubScenario:d_subquest_1442_e_13,True,,5,idle,,3,worry,,1,idle,,13,angry,,S_130,S_130,1.0,,
d_subquest_1442_e_14,d_subquest_1442_e,Speech,cinderella,cinderella,Locale_SubScenario:d_subquest_1442_e_14,True,,5,idle,,3,worry,,1,idle,,13,angry,,S_130,S_130,1.0,,
d_subquest_1442_e_15,d_subquest_1442_e,Speech,cinderella,cinderella,Locale_SubScenario:d_subquest_1442_e_15,True,,5,idle,,3,worry,,1,idle,,13,angry,,S_130,S_130,1.0,,
d_subquest_1442_e_16,d_subquest_1442_e,Speech,anis,anis,Locale_SubScenario:d_subquest_1442_e_16,True,,5,idle,,3,angry,,1,idle,,13,angry,,30,30,1.0,,
d_subquest_1442_e_17,d_subquest_1442_e,Speech,cinderella,cinderella,Locale_SubScenario:d_subquest_1442_e_17,True,,5,idle,,3,void,,1,idle,,13,idle,,S_130,S_130,1.0,,
d_subquest_1442_e_18,d_subquest_1442_e,Narration,cinderella,,Locale_SubScenario:d_subquest_1442_e_18,False,,5,idle,,3,void,,1,idle,,13,idle,,S_130,S_130,1.0,,sfx_scn_heavyboxclose
d_subquest_1442_e_19,d_subquest_1442_e,Monologue,cinderella,,Locale_SubScenario:d_subquest_1442_e_19,False,,5,idle,,3,void,,1,idle,,13,idle,,S_130,13,1.0,,
d_subquest_1442_e_20,d_subquest_1442_e,Speech,anis,anis,Locale_SubScenario:d_subquest_1442_e_20,True,,5,idle,,3,void,,1,idle,,13,idle,,13,2,2.0,,
d_subquest_1442_e_21,d_subquest_1442_e,Monologue,anis,,Locale_SubScenario:d_subquest_1442_e_21,False,,5,idle,,3,void,,1,idle,,13,idle,,2,2,1.0,,
d_subquest_1442_e_22,d_subquest_1442_e,Speech,neon,neon,Locale_SubScenario:d_subquest_1442_e_22,True,,5,idle,,3,void,,1,idle,,13,idle,,2,4,1.0,,
d_subquest_1442_e_23,d_subquest_1442_e,Speech,anis,anis,Locale_SubScenario:d_subquest_1442_e_23,True,,5,idle,,3,void,,1,idle,,13,idle,,4,4,1.0,,
d_subquest_1442_e_24,d_subquest_1442_e,Speech,anis,anis,Locale_SubScenario:d_subquest_1442_e_24,True,,5,idle,,3,void,,1,idle,,13,idle,,4,4,1.0,,
d_subquest_1442_e_25,d_subquest_1442_e,Speech,anis,anis,Locale_SubScenario:d_subquest_1442_e_25,True,,5,idle,,3,void,,1,idle,,13,idle,,4,4,1.0,,
d_subquest_1442_e_26,d_subquest_1442_e,Speech,cinderella,cinderella,Locale_SubScenario:d_subquest_1442_e_26,True,,5,idle,,3,void,,1,idle,,13,idle,,S_130,S_130,1.0,,
d_subquest_1442_e_27,d_subquest_1442_e,Speech,cinderella,cinderella,Locale_SubScenario:d_subquest_1442_e_27,True,,5,idle,,3,void,,1,idle,,13,idle,,S_130,S_130,1.0,,
d_subquest_1442_e_28,d_subquest_1442_e,Speech,cinderella,cinderella,Locale_SubScenario:d_subquest_1442_e_28,True,,5,idle,,3,void,,1,idle,,13,idle,,S_130,S_130,1.0,,
d_subquest_1442_e_29,d_subquest_1442_e,Self,cinderella,,Locale_SubScenario:d_subquest_1442_e_29,False,,5,idle,,3,void,,1,idle,,13,idle,,S_130,S_130,1.0,,
d_subquest_1442_e_30,d_subquest_1442_e,Speech,cinderella,cinderella,Locale_SubScenario:d_subquest_1442_e_30,True,,5,idle,,3,void,,1,idle,,13,idle,,S_130,S_130,1.0,,
d_subquest_1442_e_31,d_subquest_1442_e,Speech,cinderella,cinderella,Locale_SubScenario:d_subquest_1442_e_31,True,,5,idle,,3,void,,1,idle,,13,idle,,S_130,S_130,1.0,,
d_subquest_1442_e_32,d_subquest_1442_e,Self,cinderella,,Locale_SubScenario:d_subquest_1442_e_32,False,,5,idle,,3,void,,1,idle,,13,idle,,S_130,S_130,1.0,,
