id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_camera_shake,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim
s001_02_1,s001_02,Speech,marian_p,marian_p,Locale_SideStory:s001_02_1,True,IceLand_03,1,10,1.0,bgm_story_thepilgrimacv,,,marian_p,1,sad2,rapunzel,13,idle,,snowwhite,3,idle,hongryeon,15,idle
s001_02_2,s001_02,Speech,rapunzel,rapunzel,Locale_SideStory:s001_02_2,True,,10,113,1.0,,,,,1,sad2,,13,idle,,,3,idle,,15,idle
s001_02_3,s001_02,Speech,marian_p,marian_p,Locale_SideStory:s001_02_3,True,,113,113,1.0,,,,,1, angry,,13,idle,,,3,idle,,15,idle
s001_02_4,s001_02,Speech,marian_p,marian_p,Locale_SideStory:s001_02_4,False,,113,113,1.0,,,,,1, angry,,13,idle,,,3,idle,,15,idle
s001_02_5,s001_02,Speech,marian_p,marian_p,Locale_SideStory:s001_02_5,True,,113,113,1.0,,,,,1, angry,,13,idle,,,3,idle,,15,idle
s001_02_6,s001_02,Narration,marian_p,,Locale_SideStory:s001_02_6,False,,113,113,1.0,,Low_2,,,1, angry,,13,idle,,,3,idle,,15,idle
s001_02_7,s001_02,Speech,rapunzel,rapunzel,Locale_SideStory:s001_02_7,True,,113,113,1.0,,,,,1, angry,,13,sad,,,3,idle,,15,idle
s001_02_8,s001_02,Speech,marian_p,marian_p,Locale_SideStory:s001_02_8,True,,113,113,1.0,,,,,1, angry,,13,sad,,,3,idle,,15,idle
s001_02_9,s001_02,Speech,rapunzel,rapunzel,Locale_SideStory:s001_02_9,True,,113,113,1.0,,,,,1, angry,,13,delight,,,3,idle,,15,idle
s001_02_10,s001_02,Speech,marian_p,marian_p,Locale_SideStory:s001_02_10,True,,10,100,0.5,,,,,1, angry,,13,delight,,,3,idle,,15,idle
s001_02_11,s001_02,Speech,rapunzel,rapunzel,Locale_SideStory:s001_02_11,True,,130,1300,0.5,,,,,1, angry,,13,pain,,,3,idle,,15,idle
s001_02_12,s001_02,Narration,rapunzel,,Locale_SideStory:s001_02_12,False,,1300,130,1.0,,,sfx_scn_bodyfall_down,,1, angry,,13,pain,rapunzel,,3,idle,,15,idle
s001_02_13,s001_02,Narration,rapunzel,,Locale_SideStory:s001_02_13,False,,130,130,1.0,,,,,1, angry,,,,,,3,idle,,15,idle
s001_02_14,s001_02,Speech,marian_p,marian_p,Locale_SideStory:s001_02_14,True,,130,10,1.0,,,,,1, angry,,,,,,3,idle,,15,idle
s001_02_15,s001_02,Speech,marian_p,marian_p,Locale_SideStory:s001_02_15,True,,10,10,1.0,,,,,1, angry,,,,,,3,idle,,15,idle
s001_02_16,s001_02,Speech,hongryeon,hongryeon,Locale_SideStory:s001_02_16,True,,150,150,1.0,,,,,1, angry,,,,,,3,idle,,15,no
s001_02_17,s001_02,Speech,marian_p,marian_p,Locale_SideStory:s001_02_17,True,,10,10,1.0,,,,,1, angry,,,,,,3,idle,,15,no
s001_02_18,s001_02,Speech,hongryeon,hongryeon,Locale_SideStory:s001_02_18,True,,150,150,1.0,,,,,1, angry,,,,,,3,idle,,15,no
s001_02_19,s001_02,Speech,marian_p,marian_p,Locale_SideStory:s001_02_19,True,,10,100,0.5,,,,,1,sad2,,,,,,3,idle,,15,no
s001_02_20,s001_02,Speech,marian_p,marian_p,Locale_SideStory:s001_02_20,True,,100,100,1.0,,,,,1,sad2,,,,,,3,idle,,15,no
s001_02_21,s001_02,Speech,marian_p,marian_p,Locale_SideStory:s001_02_21,True,,100,100,1.0,,,,,1,sad2,,,,,,3,idle,,15,no
