id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,fade,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim
s002_03_1,s002_03,Speech,mana,mana,Locale_SideStory:s002_03_1,True,Laboratory,113,113,1.0,bgm_intotheswarm,,,mihara,1,surprise,mana,13,idle,,,
s002_03_2,s002_03,Speech,mihara,mihara,Locale_SideStory:s002_03_2,True,,113,113,1.0,,,,,1,surprise,,13,idle,,,
s002_03_3,s002_03,Speech,mihara,mihara,Locale_SideStory:s002_03_3,True,,113,113,1.0,,,,,1,surprise,,13,idle,,,
s002_03_4,s002_03,Speech,mana,mana,Locale_SideStory:s002_03_4,True,,113,113,1.0,,,,,1,surprise,,13,idle,,,
s002_03_5,s002_03,Speech,mana,mana,Locale_SideStory:s002_03_5,True,,113,113,1.0,,,,,1,surprise,,13,idle,,,
s002_03_6,s002_03,Speech,mana,mana,Locale_SideStory:s002_03_6,True,,113,113,1.0,,,,,1,surprise,,13,idle,,,
s002_03_7,s002_03,Speech,mana,mana,Locale_SideStory:s002_03_7,True,,113,113,1.0,,,,,1,surprise,,13,idle,,,
s002_03_8,s002_03,Speech,mihara,mihara,Locale_SideStory:s002_03_8,True,,113,113,1.0,,,,,1,idle,,13,idle,,,
s002_03_9,s002_03,Speech,mana,mana,Locale_SideStory:s002_03_9,True,,113,113,1.0,,,,,1,idle,,13,idle,,,
s002_03_10,s002_03,Speech,mana,mana,Locale_SideStory:s002_03_10,True,,113,113,1.0,,,,,1,idle,,13,idle,,,
s002_03_11,s002_03,Speech,mihara,mihara,Locale_SideStory:s002_03_11,True,,113,113,1.0,,,,,1,idle,,13,idle,,,
s002_03_12,s002_03,Speech,mana,mana,Locale_SideStory:s002_03_12,True,,113,113,1.0,,,,,1,idle,,13,idle,,,
s002_03_13,s002_03,Speech,mana,mana,Locale_SideStory:s002_03_13,True,,113,130,1.0,,,,,1,idle,,13,idle,,,
s002_03_14,s002_03,Speech,mana,mana,Locale_SideStory:s002_03_14,True,,130,130,1.0,,,,,1,idle,,13,idle,,,
s002_03_15,s002_03,Speech,mana,mana,Locale_SideStory:s002_03_15,True,,130,1300,1.0,,,,,1,idle,,13,idle,,,
s002_03_16,s002_03,Speech,mana,mana,Locale_SideStory:s002_03_16,True,,1300,1300,1.0,,,,,1,idle,,13,idle,,,
s002_03_17,s002_03,Speech,mana,mana,Locale_SideStory:s002_03_17,True,,1300,1300,1.0,,,,,1,idle,,13,idle,,,
s002_03_18,s002_03,Speech,mana,mana,Locale_SideStory:s002_03_18,True,,1300,1300,1.0,,,,,1,idle,,13,idle,,,
s002_03_19,s002_03,Speech,mana,mana,Locale_SideStory:s002_03_19,True,,1300,130,1.0,,,,,1,idle,,13,idle,,,
s002_03_20,s002_03,Speech,mihara,mihara,Locale_SideStory:s002_03_20,True,,130,113,1.0,,,,,1,think,,13,idle,,,
s002_03_21,s002_03,Speech,mana,mana,Locale_SideStory:s002_03_21,True,,113,113,1.0,,,,,1,think,,13,idle,,,
s002_03_22,s002_03,Speech,mana,mana,Locale_SideStory:s002_03_22,True,,113,113,1.0,,,,,1,think,,13,idle,,,
s002_03_23,s002_03,Speech,mihara,mihara,Locale_SideStory:s002_03_23,True,,113,113,1.0,,,,,1,think,,13,idle,,,
s002_03_24,s002_03,Speech,mana,mana,Locale_SideStory:s002_03_24,True,,113,113,1.0,,,,,1,think,,13,idle,,,
s002_03_25,s002_03,Speech,mihara,mihara,Locale_SideStory:s002_03_25,True,,113,113,1.0,,,,,1,think,,13,idle,,,
