id,group_id,echo_dialog_npc_id,name_tag_color,dialog_localkey,dialog_print_timing,voice,balloon_resource
3160101,31601,oldtales_01_abe,B1B955,Locale_SubScenario:echo_dialog_oldtales_01_01,50,echo_dialog_oldtales_01_01,
3160102,31601,oldtales_01_cinderella,C7CDE0,Locale_SubScenario:echo_dialog_oldtales_01_02,50,echo_dialog_oldtales_01_02,
3160103,31601,oldtales_01_abe,B1B955,Locale_SubScenario:echo_dialog_oldtales_01_03,50,echo_dialog_oldtales_01_03,
3160104,31601,oldtales_01_cinderella,C7CDE0,Locale_SubScenario:echo_dialog_oldtales_01_04,50,echo_dialog_oldtales_01_04,
3160105,31601,oldtales_01_abe,B1B955,Locale_SubScenario:echo_dialog_oldtales_01_05,50,echo_dialog_oldtales_01_05,
3160106,31601,oldtales_01_cinderella,C7CDE0,Locale_SubScenario:echo_dialog_oldtales_01_06,50,echo_dialog_oldtales_01_06,
3160107,31601,oldtales_01_cinderella,C7CDE0,Locale_SubScenario:echo_dialog_oldtales_01_07,50,echo_dialog_oldtales_01_07,
3160108,31601,oldtales_01_abe,B1B955,Locale_SubScenario:echo_dialog_oldtales_01_08,50,echo_dialog_oldtales_01_08,
3160109,31601,oldtales_01_cinderella,C7CDE0,Locale_SubScenario:echo_dialog_oldtales_01_09,50,echo_dialog_oldtales_01_09,
3160110,31601,oldtales_01_abe,B1B955,Locale_SubScenario:echo_dialog_oldtales_01_10,50,echo_dialog_oldtales_01_10,
3160111,31601,oldtales_01_cinderella,C7CDE0,Locale_SubScenario:echo_dialog_oldtales_01_11,50,echo_dialog_oldtales_01_11,
3160112,31601,oldtales_01_abe,B1B955,Locale_SubScenario:echo_dialog_oldtales_01_12,50,echo_dialog_oldtales_01_12,
3160113,31601,oldtales_01_abe,B1B955,Locale_SubScenario:echo_dialog_oldtales_01_13,50,echo_dialog_oldtales_01_13,
3160114,31601,oldtales_01_cinderella,C7CDE0,Locale_SubScenario:echo_dialog_oldtales_01_14,50,echo_dialog_oldtales_01_14,
3160115,31601,oldtales_01_abe,B1B955,Locale_SubScenario:echo_dialog_oldtales_01_15,50,echo_dialog_oldtales_01_15,
3160116,31601,oldtales_01_cinderella,C7CDE0,Locale_SubScenario:echo_dialog_oldtales_01_16,50,echo_dialog_oldtales_01_16,
3160117,31601,oldtales_01_cinderella,C7CDE0,Locale_SubScenario:echo_dialog_oldtales_01_17,50,echo_dialog_oldtales_01_17,
