id,option_type/0/option_type,option_type/1/option_type,option_type/2/option_type,random_group_id
110000,ELYSION,None,None,9110000
112100,ELYSION,Attacker,None,9112100
112131,ELYSION,Attacker,Module_A,9112131
112132,ELYSION,Attacker,Module_B,9112132
112133,ELYSION,Attacker,Module_C,9112133
112134,ELYSION,Attacker,Module_D,9112134
112200,ELYSION,Defender,None,9112200
112231,ELYSION,Defender,Module_A,9112231
112232,ELYSION,Defender,Module_B,9112232
112233,ELYSION,Defender,Module_C,9112233
112234,ELYSION,Defender,Module_D,9112234
112300,ELYSION,Supporter,None,9112300
112331,ELYSION,Supporter,Module_A,9112331
112332,ELYSION,Supporter,Module_B,9112332
112333,ELYSION,Supporter,Module_C,9112333
112334,ELYSION,Supporter,Module_D,9112334
120000,MISSILIS,None,None,9120000
122100,MISSILIS,Attacker,None,9122100
122131,MISSILIS,Attacker,Module_A,9122131
122132,MISSILIS,Attacker,Module_B,9122132
122133,MISSILIS,Attacker,Module_C,9122133
122134,MISSILIS,Attacker,Module_D,9122134
122200,MISSILIS,Defender,None,9122200
122231,MISSILIS,Defender,Module_A,9122231
122232,MISSILIS,Defender,Module_B,9122232
122233,MISSILIS,Defender,Module_C,9122233
122234,MISSILIS,Defender,Module_D,9122234
122300,MISSILIS,Supporter,None,9122300
122331,MISSILIS,Supporter,Module_A,9122331
122332,MISSILIS,Supporter,Module_B,9122332
122333,MISSILIS,Supporter,Module_C,9122333
122334,MISSILIS,Supporter,Module_D,9122334
130000,TETRA,None,None,9130000
132100,TETRA,Attacker,None,9132100
132131,TETRA,Attacker,Module_A,9132131
132132,TETRA,Attacker,Module_B,9132132
132133,TETRA,Attacker,Module_C,9132133
132134,TETRA,Attacker,Module_D,9132134
132200,TETRA,Defender,None,9132200
132231,TETRA,Defender,Module_A,9132231
132232,TETRA,Defender,Module_B,9132232
132233,TETRA,Defender,Module_C,9132233
132234,TETRA,Defender,Module_D,9132234
132300,TETRA,Supporter,None,9132300
132331,TETRA,Supporter,Module_A,9132331
132332,TETRA,Supporter,Module_B,9132332
132333,TETRA,Supporter,Module_C,9132333
132334,TETRA,Supporter,Module_D,9132334
140000,PILGRIM,None,None,9140000
142100,PILGRIM,Attacker,None,9142100
142131,PILGRIM,Attacker,Module_A,9142131
142132,PILGRIM,Attacker,Module_B,9142132
142133,PILGRIM,Attacker,Module_C,9142133
142134,PILGRIM,Attacker,Module_D,9142134
142200,PILGRIM,Defender,None,9142200
142231,PILGRIM,Defender,Module_A,9142231
142232,PILGRIM,Defender,Module_B,9142232
142233,PILGRIM,Defender,Module_C,9142233
142234,PILGRIM,Defender,Module_D,9142234
142300,PILGRIM,Supporter,None,9142300
142331,PILGRIM,Supporter,Module_A,9142331
142332,PILGRIM,Supporter,Module_B,9142332
142333,PILGRIM,Supporter,Module_C,9142333
142334,PILGRIM,Supporter,Module_D,9142334
150000,ABNORMAL,None,None,9150000
152100,ABNORMAL,Attacker,None,9152100
152131,ABNORMAL,Attacker,Module_A,9152131
152132,ABNORMAL,Attacker,Module_B,9152132
152133,ABNORMAL,Attacker,Module_C,9152133
152134,ABNORMAL,Attacker,Module_D,9152134
152200,ABNORMAL,Defender,None,9152200
152231,ABNORMAL,Defender,Module_A,9152231
152232,ABNORMAL,Defender,Module_B,9152232
152233,ABNORMAL,Defender,Module_C,9152233
152234,ABNORMAL,Defender,Module_D,9152234
152300,ABNORMAL,Supporter,None,9152300
152331,ABNORMAL,Supporter,Module_A,9152331
152332,ABNORMAL,Supporter,Module_B,9152332
152333,ABNORMAL,Supporter,Module_C,9152333
152334,ABNORMAL,Supporter,Module_D,9152334
210000,Attacker,None,None,9210000
213100,Attacker,Module_A,None,9213100
213200,Attacker,Module_B,None,9213200
213300,Attacker,Module_C,None,9213300
213400,Attacker,Module_D,None,9213400
220000,Defender,None,None,9220000
223100,Defender,Module_A,None,9223100
223200,Defender,Module_B,None,9223200
223300,Defender,Module_C,None,9223300
223400,Defender,Module_D,None,9223400
230000,Supporter,None,None,9230000
233100,Supporter,Module_A,None,9233100
233200,Supporter,Module_B,None,9233200
233300,Supporter,Module_C,None,9233300
233400,Supporter,Module_D,None,9233400
310000,Module_A,None,None,9310000
320000,Module_B,None,None,9320000
330000,Module_C,None,None,9330000
340000,Module_D,None,None,9340000
