id,group_id,battle_power_ratio_min,battle_power_ratio_max,stat_increase,textcolor
10001,10000,-2147483648,-1,0,#FE1A00
10002,10000,0,0,0,#1E1E1E
10003,10000,1,2147483647,0,#004FFF
20001,20000,-2147483648,-9001,-5000,#FE1A00
20002,20000,-9000,-8001,-4500,#FE1A00
20003,20000,-8000,-7001,-4000,#FE1A00
20004,20000,-7000,-6001,-3500,#FE1A00
20005,20000,-6000,-5001,-3000,#CD3120
20006,20000,-5000,-4001,-2500,#CD3120
20007,20000,-4000,-3001,-2000,#CD3120
20008,20000,-3000,-2001,-1500,#CD3120
20009,20000,-2000,-1001,-1000,#CD3120
20010,20000,-1000,-1,-500,#CD3120
20011,20000,0,999,0,#1E1E1E
20012,20000,1000,1999,500,#117AB7
20013,20000,2000,2999,1000,#117AB7
20014,20000,3000,3999,1500,#117AB7
20015,20000,4000,4999,2000,#117AB7
20016,20000,5000,5999,2500,#117AB7
20017,20000,6000,6999,3000,#117AB7
20018,20000,7000,7999,3500,#004FFF
20019,20000,8000,8999,4000,#004FFF
20020,20000,9000,9999,4500,#004FFF
20021,20000,10000,2147483647,5000,#004FFF
30001,30000,-2147483648,-8001,-5000,#FE1A00
30002,30000,-8000,-6001,-4000,#FE1A00
30003,30000,-6000,-4001,-3000,#CD3120
30004,30000,-4000,-2001,-2000,#CD3120
30005,30000,-2000,-1,-1000,#CD3120
30006,30000,0,1999,0,#1E1E1E
30007,30000,2000,3999,1000,#117AB7
30008,30000,4000,5999,2000,#117AB7
30009,30000,6000,7999,3000,#117AB7
30010,30000,8000,9999,4000,#004FFF
30011,30000,10000,2147483647,5000,#004FFF
40001,40000,-2147483648,-4991,-9000,#FE1A00
40002,40000,-4990,-4981,-7710,#FE1A00
40003,40000,-4980,-4971,-7700,#FE1A00
40004,40000,-4970,-4961,-7690,#FE1A00
40005,40000,-4960,-4951,-7680,#FE1A00
40006,40000,-4950,-4941,-7670,#FE1A00
40007,40000,-4940,-4931,-7660,#FE1A00
40008,40000,-4930,-4921,-7650,#FE1A00
40009,40000,-4920,-4911,-7640,#FE1A00
40010,40000,-4910,-4901,-7630,#FE1A00
40011,40000,-4900,-4891,-7620,#FE1A00
40012,40000,-4890,-4881,-7610,#FE1A00
40013,40000,-4880,-4871,-7600,#FE1A00
40014,40000,-4870,-4861,-7590,#FE1A00
40015,40000,-4860,-4851,-7580,#FE1A00
40016,40000,-4850,-4841,-7570,#FE1A00
40017,40000,-4840,-4831,-7560,#FE1A00
40018,40000,-4830,-4821,-7550,#FE1A00
40019,40000,-4820,-4811,-7540,#FE1A00
40020,40000,-4810,-4801,-7530,#FE1A00
40021,40000,-4800,-4791,-7520,#FE1A00
40022,40000,-4790,-4781,-7510,#FE1A00
40023,40000,-4780,-4771,-7500,#FE1A00
40024,40000,-4770,-4761,-7490,#FE1A00
40025,40000,-4760,-4751,-7480,#FE1A00
40026,40000,-4750,-4741,-7470,#FE1A00
40027,40000,-4740,-4731,-7460,#FE1A00
40028,40000,-4730,-4721,-7450,#FE1A00
40029,40000,-4720,-4711,-7440,#FE1A00
40030,40000,-4710,-4701,-7430,#FE1A00
40031,40000,-4700,-4691,-7420,#FE1A00
