stage_id,group_id,spot_mod,ui_theme,battle_time,mod_value,monster_count,use_intro_scene,wave_repeat,point_data,point_data_fly,background_name,theme,theme_time,stage_info_bg,close_monster_count,mid_monster_count,far_monster_count,target_list/0/name,target_list/0/value,wave_data/0/wave_path,wave_data/0/private_monster_count,wave_data/1/wave_path,wave_data/1/private_monster_count,wave_data/2/wave_path,wave_data/2/private_monster_count,wave_data/3/wave_path,wave_data/3/private_monster_count,wave_data/4/wave_path,wave_data/4/private_monster_count,wave_data/5/wave_path,wave_data/5/private_monster_count,wave_data/6/wave_path,wave_data/6/private_monster_count,wave_data/7/wave_path,wave_data/7/private_monster_count,wave_data/8/wave_path,wave_data/8/private_monster_count,wave_data/9/wave_path,wave_data/9/private_monster_count,wave_data/0/wave_monster_list/0/wave_monster_id,wave_data/0/wave_monster_list/0/spawn_type,wave_data/0/wave_monster_list/1/wave_monster_id,wave_data/0/wave_monster_list/1/spawn_type,wave_data/0/wave_monster_list/2/wave_monster_id,wave_data/0/wave_monster_list/2/spawn_type,wave_data/0/wave_monster_list/3/wave_monster_id,wave_data/0/wave_monster_list/3/spawn_type,wave_data/1/wave_monster_list/0/wave_monster_id,wave_data/1/wave_monster_list/0/spawn_type,wave_data/1/wave_monster_list/1/wave_monster_id,wave_data/1/wave_monster_list/1/spawn_type,wave_data/1/wave_monster_list/2/wave_monster_id,wave_data/1/wave_monster_list/2/spawn_type,wave_data/1/wave_monster_list/3/wave_monster_id,wave_data/1/wave_monster_list/3/spawn_type,wave_data/2/wave_monster_list/0/wave_monster_id,wave_data/2/wave_monster_list/0/spawn_type,wave_data/2/wave_monster_list/1/wave_monster_id,wave_data/2/wave_monster_list/1/spawn_type,wave_data/2/wave_monster_list/2/wave_monster_id,wave_data/2/wave_monster_list/2/spawn_type,wave_data/2/wave_monster_list/3/wave_monster_id,wave_data/2/wave_monster_list/3/spawn_type,wave_data/3/wave_monster_list/0/wave_monster_id,wave_data/3/wave_monster_list/0/spawn_type,wave_data/3/wave_monster_list/1/wave_monster_id,wave_data/3/wave_monster_list/1/spawn_type,wave_data/3/wave_monster_list/2/wave_monster_id,wave_data/3/wave_monster_list/2/spawn_type,wave_data/3/wave_monster_list/3/wave_monster_id,wave_data/3/wave_monster_list/3/spawn_type,wave_data/4/wave_monster_list/0/wave_monster_id,wave_data/4/wave_monster_list/0/spawn_type,wave_data/4/wave_monster_list/1/wave_monster_id,wave_data/4/wave_monster_list/1/spawn_type,wave_data/4/wave_monster_list/2/wave_monster_id,wave_data/4/wave_monster_list/2/spawn_type,wave_data/4/wave_monster_list/3/wave_monster_id,wave_data/4/wave_monster_list/3/spawn_type,wave_data/5/wave_monster_list/0/wave_monster_id,wave_data/5/wave_monster_list/0/spawn_type,wave_data/5/wave_monster_list/1/wave_monster_id,wave_data/5/wave_monster_list/1/spawn_type,wave_data/5/wave_monster_list/2/wave_monster_id,wave_data/5/wave_monster_list/2/spawn_type,wave_data/5/wave_monster_list/3/wave_monster_id,wave_data/5/wave_monster_list/3/spawn_type,wave_data/6/wave_monster_list/0/wave_monster_id,wave_data/6/wave_monster_list/0/spawn_type,wave_data/6/wave_monster_list/1/wave_monster_id,wave_data/6/wave_monster_list/1/spawn_type,wave_data/6/wave_monster_list/2/wave_monster_id,wave_data/6/wave_monster_list/2/spawn_type,wave_data/6/wave_monster_list/3/wave_monster_id,wave_data/6/wave_monster_list/3/spawn_type,wave_data/7/wave_monster_list/0/wave_monster_id,wave_data/7/wave_monster_list/0/spawn_type,wave_data/7/wave_monster_list/1/wave_monster_id,wave_data/7/wave_monster_list/1/spawn_type,wave_data/7/wave_monster_list/2/wave_monster_id,wave_data/7/wave_monster_list/2/spawn_type,wave_data/7/wave_monster_list/3/wave_monster_id,wave_data/7/wave_monster_list/3/spawn_type,wave_data/8/wave_monster_list/0/wave_monster_id,wave_data/8/wave_monster_list/0/spawn_type,wave_data/8/wave_monster_list/1/wave_monster_id,wave_data/8/wave_monster_list/1/spawn_type,wave_data/8/wave_monster_list/2/wave_monster_id,wave_data/8/wave_monster_list/2/spawn_type,wave_data/8/wave_monster_list/3/wave_monster_id,wave_data/8/wave_monster_list/3/spawn_type,wave_data/9/wave_monster_list/0/wave_monster_id,wave_data/9/wave_monster_list/0/spawn_type,wave_data/9/wave_monster_list/1/wave_monster_id,wave_data/9/wave_monster_list/1/spawn_type,wave_data/9/wave_monster_list/2/wave_monster_id,wave_data/9/wave_monster_list/2/spawn_type,wave_data/9/wave_monster_list/3/wave_monster_id,wave_data/9/wave_monster_list/3/spawn_type
7038001,wave_campaign_hard_016,Campaign,None,90,0,5,True,False,point_grd_swamplandjungle_004,point_fly_swamplandjungle_004,sbg_swamplandjungle_004,SwamplandJungle,Night,ibg_swamplandjungle_001,7,35,0,target_list,-1984897175.0,path_grd_mid_small_046,-1,path_fly_mid_elite1_802,-1,path_fly_close_small_020,7,path_fly_mid_elite1_802,0,path_grd_close_small_039,7,path_fly_mid_small_005,-1,,-1,,-1,,-1,,-1,-1074927175,Dash,-1074927175,Dash,-1074927175,Dash,-1074927175,Dash,1210020121,Dash,-1084947175,Dash,-1084937175,Drop,-1984897075,Drop,1210020121,Drop,1210020121,Drop,-1084947175,Drop,-1084947175,Drop,1210020121,Dash,-1084947175,Dash,-1084937175,Drop,-1984897175,Drop,-1074927175,Jump,-1074927175,Jump,-1074927175,Jump,-1074927175,Jump,1210020121,Dash,1210020121,Dash,1210020121,Dash,1210020121,Dash,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None
7038002,wave_campaign_hard_016,Campaign,None,90,0,5,True,False,point_grd_swamplandjungle_002,point_fly_swamplandjungle_002,sbg_swamplandjungle_002,SwamplandJungle,Night,ibg_swamplandjungle_001,21,27,0,target_list,-1974907175.0,path_grd_mid_small_049,-1,path_fly_mid_special_016,7,path_grd_close_small_051,6,path_fly_mid_small_050,0,path_grd_close_elite1_801,7,path_grd_close_small_001,-1,,-1,,-1,,-1,,-1,-1074917175,Drop,-1074917175,Drop,-1074917175,Drop,-1074917175,Drop,-2084947175,Jump,2110010121,Jump,2110010121,Jump,1310010221,Jump,1220040121,Dash,1220040121,Dash,1220040121,Dash,1220040121,Dash,1210020121,Jump,1210040121,Jump,1210020121,Dash,1210040121,Drop,-1074937175,Jump,-1074937175,Jump,-1074937175,Dash,-1974907175,Drop,-1074927175,Jump,-1074927175,Jump,-1074927175,Jump,-1074927175,Jump,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None
7038003,wave_campaign_hard_016,Campaign,None,90,0,7,True,False,point_grd_swamplandjungle_001,point_fly_swamplandjungle_001,sbg_swamplandjungle_001,SwamplandJungle,Night,ibg_swamplandjungle_001,0,41,7,target_list,-984947175.0,path_grd_mid_small_012,-1,path_fly_mid_elite1_802,5,path_fly_mid_small_036,9,path_fly_mid_elite2_808,0,path_fly_mid_small_050,10,path_fly_mid_small_053,-1,path_fly_mid_small_024,8,,-1,,-1,,-1,-2074947175,Dash,-2074947175,Dash,-2074947175,Dash,-2074947175,Dash,-2084957175,Dash,-2084957175,Dash,-984947075,Drop,1210060121,Dash,-2084957175,Dash,-2084927175,Dash,-2084957175,Dash,-2084927175,Dash,-2084927175,Dash,-2084957175,Dash,-984947075,Drop,-984947175,Drop,-2084927175,Drop,-2084957175,Drop,-2084957175,Drop,1210060121,Dash,-2084957175,Drop,-2084927175,Drop,-2084957175,Drop,1210060121,Dash,-2084957175,Dash,-2084957175,Dash,-2084957175,Dash,-2084957175,Dash,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None
7038004,wave_campaign_hard_016,Campaign,None,90,0,5,True,False,point_grd_swamplandjungle_005,point_fly_swamplandjungle_005,sbg_swamplandjungle_005,SwamplandJungle,Night,ibg_swamplandjungle_001,0,30,27,target_list,-1984907175.0,path_grd_mid_small_005,-1,path_fly_mid_special_016,7,path_fly_far_small_031,-1,path_fly_mid_elite2_805,0,path_grd_far_small_044,-1,path_fly_far_special_048,8,,-1,,-1,,-1,,-1,1220040121,Dash,1220040121,Dash,1220040121,Dash,1220040121,Dash,1110010121,Drop,1110010121,Drop,-2084957175,Drop,-1984907075,Drop,1210010121,Drop,1210010121,Drop,1210010121,Drop,1210040121,Drop,1210010121,Jump,1210010121,Jump,1210010121,Drop,-1984907175,Drop,-1074907175,Dash,-2074927175,Dash,-1074907175,Dash,-2074927175,Dash,-1184957175,Jump,-1184957175,Jump,-1184957175,Jump,1210010121,Jump,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None
7038005,wave_campaign_hard_016,Campaign,None,90,0,5,True,False,point_grd_swamplandjungle_003,point_fly_swamplandjungle_003,sbg_swamplandjungle_003,SwamplandJungle,Night,ibg_swamplandjungle_001,0,45,0,target_list,-1984927175.0,path_fly_mid_small_018,-1,path_grd_mid_elite2_808,-1,path_grd_mid_small_070,-1,path_fly_mid_small_033,7,path_grd_mid_elite2_808,0,path_fly_mid_elite1_802,8,,-1,,-1,,-1,,-1,-1084947175,Jump,-1084947175,Jump,-1084947175,Jump,-1084947175,Jump,-1074917175,Drop,2120010121,Drop,-1074877175,Drop,-1974937075,Drop,-2074957175,Drop,-2074957175,Drop,-1074947175,Drop,-2074917175,Drop,-1084947175,Drop,1110010121,Drop,-1084947175,Drop,-1084927175,Drop,2120010121,Drop,-2074957175,Drop,-1074877175,Drop,-2074917175,Drop,-2084957175,Dash,1110010121,Dash,1210040121,Drop,-1984927175,Drop,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None
7038006,wave_campaign_hard_016,Campaign,None,90,0,7,True,False,point_grd_swamplandjungle_002,point_fly_swamplandjungle_002,sbg_swamplandjungle_002,SwamplandJungle,Night,ibg_swamplandjungle_001,0,27,21,target_list,1320010121.0,path_grd_mid_small_002,-1,path_grd_mid_elite2_805,5,path_grd_far_small_009,9,path_grd_far_small_071,0,path_grd_far_elite2_809,-1,path_grd_mid_small_043,10,path_grd_mid_small_073,-1,,-1,,-1,,-1,1220010121,Dash,1220010121,Dash,1220010121,Dash,-2074887175,Dash,1220010121,Dash,-1074897175,Dash,-1974917075,Drop,-1974917075,Drop,1220010121,Drop,-2074887175,Drop,1220010121,Drop,-2074887175,Drop,1220010121,Drop,1220010121,Drop,1220010121,Drop,-2074887175,Dash,1220010121,Dash,-1074897175,Dash,-1974917075,Drop,1320010121,Drop,1220010121,Drop,-2074887175,Drop,1220010121,Drop,-2074887175,Drop,-1074897175,Dash,1220010121,Dash,1220010121,Dash,-2074887175,Drop,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None
7038007,wave_campaign_hard_016,BaseDefense,None,60,normal,6,True,True,point_grd_swamplandjungle_002_midclear,point_fly_swamplandjungle_002,sbg_swamplandjungle_002_midclear,SwamplandJungle,Night,ibg_swamplandjungle_basedefense_001,0,60,0,,,path_grd_mid_small_002,-1,path_grd_mid_small_061,-1,path_grd_mid_small_052,-1,path_grd_mid_special_025,3,path_grd_mid_small_061,10,path_grd_mid_small_040,9,path_grd_mid_small_076,5,path_grd_mid_elite1_802,7,,-1,,-1,1220020121,Drop,1220020121,Drop,-2074957175,Dash,-2074957175,Dash,-2074957175,Dash,-2074957175,Dash,1220020121,Dash,1220020121,Dash,-1074947175,Jump,-2074957175,Jump,-1074947175,Jump,-2074957175,Jump,1120010121,Jump,1220020121,Jump,-1074947175,Drop,-1974947075,Drop,-2074957175,Drop,1220020121,Drop,-2074957175,Drop,1220020121,Drop,1220020121,Dash,1220020121,Dash,1220020121,Dash,1220020121,Dash,1220020121,Dash,-2074957175,Dash,1220020121,Dash,-2074957175,Dash,1220020121,Dash,-1074947175,Dash,1220020121,Drop,-1974947075,Drop,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None
7038008,wave_campaign_hard_016,BaseDefense,None,60,normal,6,True,True,point_grd_swamplandjungle_002_midclear,point_fly_swamplandjungle_002,sbg_swamplandjungle_002_midclear,SwamplandJungle,Night,ibg_swamplandjungle_basedefense_001,4,47,0,,,path_grd_mid_small_043,-1,path_grd_close_small_051,-1,path_grd_mid_small_012,-1,path_grd_mid_elite1_802,3,path_grd_mid_small_046,10,path_grd_mid_small_005,8,path_grd_mid_small_075,-1,path_grd_mid_small_075,5,,-1,,-1,1220030121,Jump,1220030121,Jump,1220030121,Jump,1220030121,Jump,-1074937175,Dash,-1074937175,Dash,-1074937175,Dash,-1074937175,Dash,1220030121,Dash,-1074947175,Dash,1220030121,Dash,1220030121,Dash,1220030121,Dash,-1074937175,Dash,-1074947175,Drop,-1974937075,Drop,1220030121,Jump,1220030121,Jump,-1074947175,Jump,-1074947175,Jump,-1074937175,Dash,-1074947175,Dash,-1074937175,Dash,-1074947175,Dash,-1074947175,Drop,-1074947175,Drop,1220030121,Drop,1220030121,Drop,1220030121,Dash,-1074937175,Dash,-974927075,Drop,-1974937075,Drop,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None
7038009,wave_campaign_hard_016,Defense,None,90,20,7,True,True,point_grd_swamplandjungle_004_rightclear,point_fly_swamplandjungle_004_rightclear,sbg_swamplandjungle_004_rightclear,SwamplandJungle,Night,ibg_swamplandjungle_defense_001,26,58,0,,,path_grd_close_small_036,-1,path_fly_mid_small_024,8,path_grd_close_special_064,-1,path_grd_mid_special_025,4,path_grd_mid_small_075,16,path_fly_mid_small_008,10,path_grd_mid_special_025,10,path_grd_close_elite1_801,12,path_grd_close_small_013,15,,-1,-1074917175,Normal,-1074917175,Normal,-2074957175,Normal,-2074957175,Normal,-2084947175,Drop,1210010121,Drop,-2084947175,Drop,1210010121,Drop,1120010121,Dash,-2074957175,Dash,-1074907175,Dash,1120010121,Dash,1120010121,Jump,-1074917175,Normal,-1074907175,Drop,-974907075,Normal,-1074917175,Dash,-1074917175,Dash,-2074957175,Dash,-2074957175,Dash,-2084947175,Drop,1210010121,Drop,-2084947175,Drop,1210010121,Drop,1120010121,Dash,-1074907175,Dash,-2074957175,Drop,-2074957175,Drop,-1074917175,Jump,-1074907175,Jump,-2074957175,Normal,-974907075,Normal,-2074957175,Jump,-2074957175,Jump,-1074947175,Normal,-974907075,Dash,0,None,0,None,0,None,0,None
7038010,wave_campaign_hard_016,Defense,None,90,20,7,True,True,point_grd_swamplandjungle_004_rightclear,point_fly_swamplandjungle_004_rightclear,sbg_swamplandjungle_004_rightclear,SwamplandJungle,Night,ibg_swamplandjungle_defense_001,5,58,0,,,path_grd_close_small_036,-1,path_grd_mid_small_005,8,path_fly_mid_elite1_802,-1,path_fly_close_small_026,4,path_grd_mid_elite1_802,12,path_grd_mid_small_037,10,path_grd_mid_small_076,10,path_fly_mid_elite2_805,-1,path_grd_mid_small_043,15,,-1,1220060121,Normal,1220060121,Normal,1220060121,Normal,1220060121,Normal,-1074917175,Jump,-1074917175,Jump,-1074917175,Jump,-1074947175,Jump,2110010121,Drop,2110010121,Drop,1210060121,Dash,-1084937175,Dash,-1984907075,Drop,-2084947175,Drop,-2084947175,Drop,-1084937175,Drop,2110010121,Drop,2110010121,Drop,1210060121,Dash,-1084937175,Dash,-1074917175,Dash,-1074917175,Dash,-1074917175,Dash,-1074947175,Dash,1220060121,Normal,-1074947175,Dash,1220060121,Normal,-2074917175,Dash,-2084947175,Dash,-2084947175,Dash,-1984907075,Drop,1210060121,Drop,1220060121,Normal,1220060121,Normal,1220060121,Normal,-1974957075,Drop,0,None,0,None,0,None,0,None
