stage_id,group_id,spot_mod,ui_theme,battle_time,mod_value,monster_count,use_intro_scene,wave_repeat,point_data,point_data_fly,background_name,theme,theme_time,stage_info_bg,close_monster_count,mid_monster_count,far_monster_count,target_list/0/name,target_list/0/value,wave_data/0/wave_path,wave_data/0/private_monster_count,wave_data/1/wave_path,wave_data/1/private_monster_count,wave_data/2/wave_path,wave_data/2/private_monster_count,wave_data/3/wave_path,wave_data/3/private_monster_count,wave_data/4/wave_path,wave_data/4/private_monster_count,wave_data/5/wave_path,wave_data/5/private_monster_count,wave_data/6/wave_path,wave_data/6/private_monster_count,wave_data/7/wave_path,wave_data/7/private_monster_count,wave_data/8/wave_path,wave_data/8/private_monster_count,wave_data/9/wave_path,wave_data/9/private_monster_count,wave_data/0/wave_monster_list/0/wave_monster_id,wave_data/0/wave_monster_list/0/spawn_type,wave_data/0/wave_monster_list/1/wave_monster_id,wave_data/0/wave_monster_list/1/spawn_type,wave_data/0/wave_monster_list/2/wave_monster_id,wave_data/0/wave_monster_list/2/spawn_type,wave_data/0/wave_monster_list/3/wave_monster_id,wave_data/0/wave_monster_list/3/spawn_type,wave_data/1/wave_monster_list/0/wave_monster_id,wave_data/1/wave_monster_list/0/spawn_type,wave_data/1/wave_monster_list/1/wave_monster_id,wave_data/1/wave_monster_list/1/spawn_type,wave_data/1/wave_monster_list/2/wave_monster_id,wave_data/1/wave_monster_list/2/spawn_type,wave_data/1/wave_monster_list/3/wave_monster_id,wave_data/1/wave_monster_list/3/spawn_type,wave_data/2/wave_monster_list/0/wave_monster_id,wave_data/2/wave_monster_list/0/spawn_type,wave_data/2/wave_monster_list/1/wave_monster_id,wave_data/2/wave_monster_list/1/spawn_type,wave_data/2/wave_monster_list/2/wave_monster_id,wave_data/2/wave_monster_list/2/spawn_type,wave_data/2/wave_monster_list/3/wave_monster_id,wave_data/2/wave_monster_list/3/spawn_type,wave_data/3/wave_monster_list/0/wave_monster_id,wave_data/3/wave_monster_list/0/spawn_type,wave_data/3/wave_monster_list/1/wave_monster_id,wave_data/3/wave_monster_list/1/spawn_type,wave_data/3/wave_monster_list/2/wave_monster_id,wave_data/3/wave_monster_list/2/spawn_type,wave_data/3/wave_monster_list/3/wave_monster_id,wave_data/3/wave_monster_list/3/spawn_type,wave_data/4/wave_monster_list/0/wave_monster_id,wave_data/4/wave_monster_list/0/spawn_type,wave_data/4/wave_monster_list/1/wave_monster_id,wave_data/4/wave_monster_list/1/spawn_type,wave_data/4/wave_monster_list/2/wave_monster_id,wave_data/4/wave_monster_list/2/spawn_type,wave_data/4/wave_monster_list/3/wave_monster_id,wave_data/4/wave_monster_list/3/spawn_type,wave_data/5/wave_monster_list/0/wave_monster_id,wave_data/5/wave_monster_list/0/spawn_type,wave_data/5/wave_monster_list/1/wave_monster_id,wave_data/5/wave_monster_list/1/spawn_type,wave_data/5/wave_monster_list/2/wave_monster_id,wave_data/5/wave_monster_list/2/spawn_type,wave_data/5/wave_monster_list/3/wave_monster_id,wave_data/5/wave_monster_list/3/spawn_type,wave_data/6/wave_monster_list/0/wave_monster_id,wave_data/6/wave_monster_list/0/spawn_type,wave_data/6/wave_monster_list/1/wave_monster_id,wave_data/6/wave_monster_list/1/spawn_type,wave_data/6/wave_monster_list/2/wave_monster_id,wave_data/6/wave_monster_list/2/spawn_type,wave_data/6/wave_monster_list/3/wave_monster_id,wave_data/6/wave_monster_list/3/spawn_type,wave_data/7/wave_monster_list/0/wave_monster_id,wave_data/7/wave_monster_list/0/spawn_type,wave_data/7/wave_monster_list/1/wave_monster_id,wave_data/7/wave_monster_list/1/spawn_type,wave_data/7/wave_monster_list/2/wave_monster_id,wave_data/7/wave_monster_list/2/spawn_type,wave_data/7/wave_monster_list/3/wave_monster_id,wave_data/7/wave_monster_list/3/spawn_type,wave_data/8/wave_monster_list/0/wave_monster_id,wave_data/8/wave_monster_list/0/spawn_type,wave_data/8/wave_monster_list/1/wave_monster_id,wave_data/8/wave_monster_list/1/spawn_type,wave_data/8/wave_monster_list/2/wave_monster_id,wave_data/8/wave_monster_list/2/spawn_type,wave_data/8/wave_monster_list/3/wave_monster_id,wave_data/8/wave_monster_list/3/spawn_type,wave_data/9/wave_monster_list/0/wave_monster_id,wave_data/9/wave_monster_list/0/spawn_type,wave_data/9/wave_monster_list/1/wave_monster_id,wave_data/9/wave_monster_list/1/spawn_type,wave_data/9/wave_monster_list/2/wave_monster_id,wave_data/9/wave_monster_list/2/spawn_type,wave_data/9/wave_monster_list/3/wave_monster_id,wave_data/9/wave_monster_list/3/spawn_type
6506201,wave_eventdungeon_023,Campaign,CE007,90,0,5,True,False,point_grd_arkout_001,point_fly_arkout_001,sbg_arkout_001,ArcOut,Night,ibg_arkout_001,6,36,0,target_list,1310030121,path_fly_mid_small_018,-1,path_fly_mid_special_047,6,path_grd_close_small_004,6,path_fly_mid_elite1_802,0,path_fly_mid_small_024,7,,-1,,-1,,-1,,-1,,-1,-2084947175,Dash,-2084947175,Dash,-2084947175,Drop,-2084947175,Drop,-1084957175,Dash,2110010121,Dash,2110010121,Dash,1310020221,Dash,-1074927175,Drop,-1074927175,Drop,-1074927175,Drop,-1074927175,Drop,-2084947175,Drop,-2084947175,Drop,-2084947175,Drop,1310030121,Drop,-1084957175,Jump,-1084957175,Jump,-1084957175,Jump,1210040121,Jump,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None
6506202,wave_eventdungeon_023,Campaign,CE007,90,0,5,True,False,point_grd_arkout_002,point_fly_arkout_002,sbg_arkout_002,ArcOut,Night,ibg_arkout_001,0,60,0,target_list,1320040121,path_grd_mid_small_008,-1,path_grd_mid_special_025,7,path_fly_mid_elite1_802,4,path_grd_mid_elite1_802,0,path_fly_mid_small_021,10,path_grd_mid_special_025,-1,,-1,,-1,,-1,,-1,-1074917175,Drop,-1074917175,Drop,-1074907175,Dash,-1074907175,Dash,2120010121,Jump,2120010121,Jump,-2074957175,Drop,1320030221,Drop,1210030121,Drop,-2084957175,Drop,-2084957175,Drop,1210040121,Drop,-2074957175,Dash,-2074957175,Dash,-1074907175,Drop,1320040121,Drop,1210010121,Drop,1210010121,Drop,1210010121,Drop,-1084937175,Drop,-1174957175,Jump,-1174957175,Jump,-1174957175,Drop,-1174957175,Drop,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None
6506203,wave_eventdungeon_023,Campaign,CE007,90,0,5,True,False,point_grd_arkout_001,point_fly_arkout_001,sbg_arkout_001,ArcOut,Night,ibg_arkout_001,2,28,27,target_list,-1984907175,path_grd_mid_small_005,-1,path_fly_mid_special_016,7,path_fly_far_small_031,-1,path_fly_mid_elite2_805,0,path_grd_far_small_044,-1,path_fly_far_special_048,8,,-1,,-1,,-1,,-1,1220040121,Dash,1220040121,Dash,1220040121,Dash,1220040121,Dash,1110010121,Drop,1110010121,Drop,-2084957175,Drop,-1984907075,Drop,1210010121,Drop,1210010121,Drop,1210010121,Drop,1210040121,Drop,1210010121,Jump,1210010121,Jump,1210010121,Drop,-1984907175,Drop,-1074907175,Dash,-2074927175,Dash,-1074907175,Dash,-2074927175,Dash,-1184957175,Jump,-1184957175,Jump,-1184957175,Jump,1210010121,Jump,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None
6506204,wave_eventdungeon_023,Campaign,CE007,90,0,5,True,False,point_grd_arkout_002,point_fly_arkout_002,sbg_arkout_002,ArcOut,Night,ibg_arkout_001,0,45,0,target_list,-1984927175,path_fly_mid_small_018,-1,path_grd_mid_elite1_802,-1,path_grd_mid_small_070,-1,path_fly_mid_small_033,7,path_fly_mid_elite1_802,0,path_grd_mid_elite1_802,8,,-1,,-1,,-1,,-1,-1084947175,Jump,-1084947175,Jump,-1084947175,Jump,-1084947175,Jump,-1074917175,Drop,-1074917175,Drop,-2074917175,Drop,-1974937075,Drop,-2074957175,Drop,-2074957175,Drop,-1074947175,Drop,-2074957175,Drop,-1084947175,Drop,-1084947175,Drop,-1084947175,Drop,-1084927175,Drop,-2084957175,Dash,-2084957175,Dash,1210040121,Drop,-1984927175,Drop,2120010121,Drop,-2074957175,Drop,-1074947175,Drop,-2074917175,Drop,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None
6506205,wave_eventdungeon_023,Campaign,CE007,90,0,5,True,False,point_grd_arkout_001,point_fly_arkout_001,sbg_arkout_001,ArcOut,Night,ibg_arkout_001,9,33,0,target_list,1310010121,path_grd_mid_small_055,-1,path_fly_mid_elite1_802,-1,path_grd_mid_small_043,8,path_fly_mid_elite1_802,0,path_grd_mid_small_034,10,path_grd_mid_small_046,8,,-1,,-1,,-1,,-1,-1074937175,Drop,-1074937175,Drop,-1074937175,Drop,-1074937175,Drop,1210030121,Dash,1210030121,Dash,1210030121,Dash,1310010221,Dash,-1074937175,Drop,-1074937175,Drop,-1074937175,Drop,-1074887175,Drop,1210030121,Dash,1210030121,Dash,1210030121,Dash,1310010121,Dash,-1074887175,Drop,-1074937175,Drop,-1074937175,Drop,-1074937175,Drop,-1074937175,Drop,-1074937175,Drop,-1074937175,Drop,-1074887175,Drop,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None
6506206,wave_eventdungeon_023,Campaign,CE007,90,0,5,True,False,point_grd_arkout_002,point_fly_arkout_002,sbg_arkout_002,ArcOut,Night,ibg_arkout_001,0,36,27,target_list,-1974947175,path_grd_mid_small_049,-1,path_grd_mid_special_065,7,path_grd_far_small_044,-1,path_fly_far_special_045,0,path_grd_mid_special_065,10,path_grd_far_small_006,8,,-1,,-1,,-1,,-1,-1074917175,Drop,-1074917175,Drop,-1074917175,Drop,-2074927175,Drop,1120010121,Dash,1120010121,Dash,-2074937175,Dash,-1974947075,Dash,-2074937175,Dash,-2074937175,Dash,-2074937175,Dash,-2074927175,Dash,1110010121,Drop,1110010121,Drop,1110010121,Drop,1210040121,Drop,1120010121,Drop,1120010121,Drop,-2074937175,Drop,-1974947175,Drop,-2074937175,Jump,-2074937175,Jump,-2074937175,Jump,-2074927175,Jump,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None
6506207,wave_eventdungeon_023,Campaign,CE007,90,0,5,True,False,point_grd_arkout_001,point_fly_arkout_001,sbg_arkout_001,ArcOut,Night,ibg_arkout_001,10,20,12,target_list,-1974917175,path_grd_mid_small_002,-1,path_grd_mid_special_065,6,path_grd_far_small_009,8,path_grd_mid_elite1_802,0,path_grd_far_small_050,-1,,-1,,-1,,-1,,-1,,-1,-1074917175,Drop,-1074917175,Drop,-1074917175,Dash,-2074927175,Dash,-1174957175,Drop,-1174957175,Drop,-1074917175,Drop,-1974917075,Drop,-1074897175,Jump,-1074897175,Jump,1220030121,Jump,-2074927175,Jump,-1074927175,Jump,-1074927175,Jump,-2074927175,Drop,-1974917175,Drop,-1074897175,Drop,1220030121,Drop,-1074897175,Drop,1220030121,Drop,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None
6506208,wave_eventdungeon_023,Campaign,CE007,90,0,5,True,False,point_grd_arkout_002,point_fly_arkout_002,sbg_arkout_002,ArcOut,Night,ibg_arkout_001,0,42,0,target_list,-1984947175,path_grd_mid_small_002,-1,path_fly_mid_elite1_802,-1,path_fly_mid_small_039,7,path_fly_mid_small_039,0,path_fly_mid_elite1_802,8,path_grd_mid_small_043,8,,-1,,-1,,-1,,-1,1220060121,Dash,1220060121,Dash,1220060121,Dash,1220060121,Dash,-2084947175,Dash,-2084947175,Dash,-2084927175,Drop,-1984947075,Drop,-2084947175,Drop,-2084947175,Drop,-2084947175,Drop,-2084947175,Drop,-2084947175,Drop,-2084947175,Drop,-2084927175,Drop,-2084927175,Drop,-2084947175,Dash,-2084947175,Dash,-2084927175,Drop,-1984947175,Drop,1220060121,Dash,1220060121,Dash,1220060121,Dash,1220060121,Dash,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None
6506209,wave_eventdungeon_023,Campaign,CE007,90,0,5,True,False,point_grd_arkout_001,point_fly_arkout_001,sbg_arkout_001,ArcOut,Night,ibg_arkout_001,10,20,0,target_list,-1974907175,path_grd_mid_small_070,-1,path_fly_mid_small_039,-1,path_grd_mid_small_034,7,path_grd_mid_small_068,0,path_grd_mid_small_043,10,,-1,,-1,,-1,,-1,,-1,-1074917175,Dash,-1074917175,Dash,-1074917175,Dash,-2074917175,Dash,1210020121,Dash,1210020121,Dash,1210040121,Dash,1310010221,Dash,-1074907175,Drop,-1074887175,Drop,-1074907175,Drop,-2074917175,Dash,-1074907175,Dash,-1074907175,Dash,-2074917175,Drop,-1974907175,Drop,-1074917175,Dash,-1074907175,Dash,-2074917175,Dash,-1074887175,Normal,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None
6506210,wave_eventdungeon_023,Campaign,CE007,90,0,5,True,False,point_grd_arkout_002,point_fly_arkout_002,sbg_arkout_002,ArcOut,Night,ibg_arkout_001,30,12,0,target_list,-974957175,path_grd_close_small_001,-1,path_grd_close_special_024,4,path_fly_mid_small_050,6,path_grd_close_elite1_801,0,path_grd_mid_small_043,-1,,-1,,-1,,-1,,-1,,-1,-2074947175,Drop,-2074947175,Drop,-2074947175,Dash,-2074947175,Dash,1220040121,Drop,1120010121,Drop,1120010121,Drop,1320040221,Drop,-2084947175,Dash,-2084947175,Dash,-2084947175,Dash,-1084937175,Dash,-1074927175,Dash,-1074927175,Dash,-1074927175,Drop,-974957175,Drop,-1074917175,Dash,-1074917175,Dash,-1074917175,Dash,-1074917175,Dash,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None
